frame,timestamp,zone_0_occupancy,zone_1_occupancy,zone_2_occupancy,zone_3_occupancy
2,0.08,7,6,6,4
3,0.12,7,6,6,5
4,0.16,8,6,6,5
5,0.2,8,6,6,5
6,0.24,8,7,6,5
7,0.28,9,7,6,5
8,0.32,9,7,6,5
9,0.36,9,7,6,5
10,0.4,10,7,6,5
11,0.44,10,7,6,5
12,0.48,10,7,6,5
13,0.52,10,7,6,5
14,0.56,10,7,6,5
15,0.6,10,7,6,5
16,0.64,10,7,6,5
17,0.68,10,7,6,5
18,0.72,11,7,5,5
19,0.76,11,6,5,6
20,0.8,11,6,5,6
21,0.84,11,6,6,6
22,0.88,11,6,6,6
23,0.92,11,6,6,6
24,0.96,11,6,6,6
25,1.0,11,6,6,6
26,1.04,11,6,6,6
27,1.08,11,6,6,6
28,1.12,11,6,6,6
29,1.16,11,7,6,6
30,1.2,11,7,6,6
31,1.24,11,7,6,6
32,1.28,11,7,6,6
33,1.32,11,7,6,6
34,1.36,11,7,6,6
35,1.4,11,7,6,6
36,1.44,10,7,6,6
37,1.48,10,8,6,5
38,1.52,10,8,6,5
39,1.56,10,8,6,5
40,1.6,10,8,6,5
41,1.64,11,8,6,5
42,1.68,11,8,6,6
43,1.72,11,9,6,6
44,1.76,11,10,6,6
45,1.8,11,10,6,6
46,1.84,11,10,6,6
47,1.88,11,10,6,6
48,1.92,11,10,6,6
49,1.96,11,10,6,6
50,2.0,11,10,6,6
51,2.04,11,10,6,6
52,2.08,11,10,6,6
53,2.12,11,10,6,6
54,2.16,11,10,6,6
55,2.2,11,9,6,6
56,2.24,11,9,6,6
57,2.28,11,9,6,6
58,2.32,11,9,6,6
59,2.36,11,9,6,6
60,2.4,11,9,6,6
61,2.44,11,9,6,6
62,2.48,10,9,7,6
63,2.52,10,9,7,6
64,2.56,10,9,7,6
65,2.6,10,9,7,6
66,2.64,9,9,7,6
67,2.68,10,9,6,6
68,2.72,11,9,7,6
69,2.76,11,9,7,7
70,2.8,11,9,7,7
71,2.84,11,9,7,7
72,2.88,11,9,7,7
73,2.92,11,9,7,7
74,2.96,11,10,8,7
75,3.0,11,10,7,7
76,3.04,11,10,7,7
77,3.08,11,10,7,7
78,3.12,11,10,7,7
79,3.16,11,10,7,7
80,3.2,11,10,7,7
81,3.24,11,10,8,7
82,3.28,11,10,8,7
83,3.32,11,10,8,7
84,3.36,11,10,8,7
85,3.4,11,11,8,7
86,3.44,11,11,8,7
87,3.48,10,11,8,7
88,3.52,10,11,8,7
89,3.56,10,11,8,7
90,3.6,10,11,8,7
91,3.64,10,11,8,7
92,3.68,10,11,8,7
93,3.72,10,12,7,6
94,3.76,10,12,7,5
95,3.8,10,12,7,5
96,3.84,10,12,7,5
97,3.88,10,12,7,5
98,3.92,11,12,7,6
99,3.96,11,12,7,6
100,4.0,11,12,7,6
101,4.04,11,12,7,5
102,4.08,11,11,6,6
103,4.12,10,11,7,7
104,4.16,10,11,7,7
105,4.2,10,11,7,7
106,4.24,10,11,7,7
107,4.28,10,11,7,7
108,4.32,10,11,7,7
109,4.36,10,11,8,7
110,4.4,10,11,8,7
111,4.44,10,11,8,6
112,4.48,10,11,8,6
113,4.52,10,11,8,6
114,4.56,9,10,9,6
115,4.6,9,10,9,6
116,4.64,9,10,9,6
117,4.68,9,10,9,6
118,4.72,9,10,9,6
119,4.76,9,9,9,6
120,4.8,9,9,9,6
121,4.84,9,9,9,6
122,4.88,9,9,9,5
123,4.92,9,9,9,5
124,4.96,9,9,9,5
125,5.0,9,9,9,5
126,5.04,9,9,9,5
127,5.08,9,9,9,5
128,5.12,9,9,9,6
129,5.16,9,9,9,6
130,5.2,9,9,9,6
131,5.24,9,9,8,6
132,5.28,9,9,8,6
133,5.32,9,9,8,6
134,5.36,9,9,8,5
135,5.4,9,9,8,4
136,5.44,9,10,8,3
137,5.48,9,10,8,3
138,5.52,9,10,8,3
139,5.56,9,10,8,3
140,5.6,9,10,8,3
141,5.64,8,10,8,3
142,5.68,8,9,8,4
143,5.72,8,10,8,3
144,5.76,8,10,8,3
145,5.8,8,10,8,3
146,5.84,8,10,8,3
147,5.88,8,10,8,3
148,5.92,8,9,8,4
149,5.96,8,9,8,4
150,6.0,8,9,8,4
151,6.04,8,9,8,4
152,6.08,8,9,8,4
153,6.12,8,9,8,4
154,6.16,8,9,8,4
155,6.2,8,9,8,4
156,6.24,8,9,8,4
157,6.28,8,9,8,4
158,6.32,8,9,8,4
159,6.36,8,9,8,4
160,6.4,8,9,8,4
161,6.44,8,9,8,4
162,6.48,8,8,8,4
163,6.52,8,8,9,4
164,6.56,8,8,9,4
165,6.6,8,8,9,4
166,6.64,8,8,9,4
167,6.68,8,8,9,4
168,6.72,8,8,9,4
169,6.76,8,8,9,4
170,6.8,8,8,9,4
